file,rhythmic_entropy,melodic_range,hnr,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rms_energy
S24RN_segment_1.mp3,-4890.430766569374,4001.6294,0.14133188,2467.3301852642317,2267.9088839486944,0.12122562411158493,0.1321746
U23RN_segment_1.mp3,-6145.851522517417,2227.3245,-116.24282,643.384983058906,979.5942850243975,0.016377723547441363,0.14955088
S40RN_segment_2.mp3,-5495.238597731606,3972.93,921.21655,1792.1050651568764,2078.3754550798367,0.05671766724413646,0.24140428
S04RN_segment_2.mp3,-5732.861979966793,3997.7185,3.1444285,1696.240879918387,1847.0913981794597,0.0728569762793177,0.13627683
U80RN_segment_2.mp3,-4191.955741343101,3957.423,8.635,1292.82020307771,1213.1142064992428,0.07824091040334044,0.20109922
S63RN_segment_2.mp3,-6109.109458011719,3996.5942,9.051853,2334.033096293799,2040.3140706680147,0.11399024686833689,0.19740517
S91RN_segment_1.mp3,-4906.386825015883,4001.0513,-1.6072598,2098.6244765927927,2156.7412354738076,0.09579751910092395,0.19942443
S03RN_segment_1.mp3,-4857.264864904946,3985.4314,-2.6727748,1672.5498105393615,2071.1898694950414,0.06109241737739872,0.21773835
U96RN_segment_1.mp3,-5820.352069785773,4001.8135,2.632076,2308.956165394677,2108.4247573446914,0.11902055015103057,0.16049905
U56RN_segment_2.mp3,-6259.069706157464,3991.7476,0.18824084,1786.479073532958,1761.1832393114187,0.08353912635483297,0.21764629
U50RN_segment_1.mp3,-4163.28308390277,4001.4885,2.3034427,2063.68884653452,1897.480217026641,0.09815806569829424,0.18790491
U69RN_segment_1.mp3,-5280.361817144302,3977.1277,6.880162,1797.0953427728814,1919.491172531055,0.08341974558013504,0.1803216
U25RN_segment_1.mp3,-5670.204743949499,3737.6982,-26.457417,963.9929655928746,776.0571365867673,0.06490357920220327,0.08575083
S64RN_segment_2.mp3,-5286.897630836548,3983.356,-5.665204,1655.680730981825,2017.3715261463176,0.056726343172530204,0.17263038
U68RN_segment_2.mp3,-4487.814935692289,4000.3606,0.13849705,1967.5683683608004,1720.329979225715,0.11154849358120114,0.17274213
S18RN_segment_2.mp3,-4639.917667249319,4001.4255,-0.83594435,2748.110064905017,2201.735780653874,0.16278366815476192,0.17712416
U19RN_segment_1.mp3,-5454.653712377994,3977.33,-1.5955162,1573.2534596112334,1730.6471347205584,0.07583837231254442,0.103887625
U85RN_segment_1.mp3,-4425.2375958833545,3997.3433,-4.773101,2245.182005699322,2177.998188483856,0.11053236884772566,0.1682832
U99RN_segment_1.mp3,-6620.135494388221,3999.445,18.215115,1078.3082200871177,1381.083195220231,0.04602198272032694,0.18157053
S24RN_segment_2.mp3,-4360.688015199268,4000.7864,-58.200127,2766.8817994792034,2454.6945255984133,0.13636893656716417,0.13726701
U78RN_segment_1.mp3,-4741.4547555201825,3745.9885,-2.5146115,571.9789218648921,793.253230332753,0.02814922319207534,0.17387687
S30RN_segment_2.mp3,-4664.617765881618,3999.518,6.0728703,2415.4983552057924,2310.4877439667594,0.11345233930792466,0.14371276
S01RN_segment_2.mp3,-5191.979927778719,3963.3738,34.48091,1602.7673367409561,1931.9627862651644,0.04994072605721393,0.18964984
S100RN_segment_2.mp3,-4650.410839755412,3988.3044,-36.895607,2527.0254712091228,2455.27992686622,0.09949415867093106,0.22685453
S68RN_segment_1.mp3,-3909.4656277889485,3998.6526,1.9418123,2370.2849812267937,2254.0730977677563,0.09527349302594172,0.21137464
U51RN_segment_1.mp3,-5752.267540657005,3994.0283,3.7752247,2171.891888453638,1941.688726275491,0.12206580101723526,0.17039607
