file,rhythmic_entropy,melodic_range,hnr,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rms_energy
H15N.mp3,-6684.69130735193,3997.3235,-15.890092,2114.0700215591346,1639.2249718834953,0.13531498478589196,0.15759857
H264N.mp3,-4965.358729794392,3988.9504,1.3278087,2065.6180257883952,2083.8517303959934,0.09570486018567875,0.12464483
H297N.mp3,-4685.759849040573,3981.4697,19.121847,855.1934931350173,1126.4246118008216,0.05014304870735608,0.31474265
H136N.mp3,-5393.8184584294795,4001.7424,-1.2084357,2496.8961818242933,1848.2033845567407,0.17283594582889125,0.05876881
H5N.mp3,-5224.351432424096,2989.109,0.291944,1333.7674164682608,1001.3483952022493,0.08343432113983654,0.04870175
H111N.mp3,-4596.426546804021,3288.0874,-0.1214196,743.0889532789338,989.9102458523364,0.03204992059790334,0.24844278
H92N.mp3,-5767.4470930596435,3993.7026,18.447117,1433.5272691423015,1746.8593445654467,0.0494173940565032,0.32752952
H289N.mp3,-3999.668108379188,3878.7021,0.4342184,1251.6459897326001,1607.4321718038912,0.05258410792022033,0.13760291
H424N.mp3,-3818.9801043777734,3968.636,1.1375153,2194.076640315585,2371.907423368276,0.09018384639303482,0.223839
H447N.mp3,-4429.327761265739,2930.542,3.2389545,970.9694661793341,1463.6693515660775,0.03358868325781805,0.22436944
H446N.mp3,-5800.751434983915,3761.729,-4.1324944,635.9596439424931,603.541263612192,0.03733633728678038,0.13155343
H99N.mp3,-5477.853545267039,3987.0852,3.4705994,564.4925813399647,927.5072079963179,0.015353616959843639,0.132779
H371N.mp3,-4624.251304290676,3986.0635,598.82416,1814.4253887051923,1784.5727859416684,0.11742799673507463,0.24542288
H176N.mp3,-4660.835984300478,3798.1245,-0.5802594,1073.5694293435286,1359.5113562871054,0.04491007573738451,0.2523862
H341N.mp3,-5427.024306251805,3809.431,4.7299337,1108.5267513151305,1244.4215117310434,0.0555665450648543,0.16196398
H288N.mp3,-6475.416227721974,2155.8774,-24.424511,816.1082069402163,1044.6328005283501,0.036400031094527364,0.0916786
H411N.mp3,-4599.3559556407545,3995.0906,12.853612,1087.199120339602,1450.1599049614922,0.03276099968905473,0.27560583
H85N.mp3,-5875.3090132472325,3961.2275,-6.4328394,1438.118464087747,1688.1600537862512,0.05242273565209666,0.21364781
H117N.mp3,-4755.684536608971,3939.7385,9.988736,822.0234407563115,1270.6852108201217,0.028551786269545132,0.185093
H318N.mp3,-5719.461937724236,4000.341,127.337494,1956.6413611670232,1738.567942040084,0.12198008284470505,0.160903
H83N.mp3,-5720.562300019721,3970.4949,3.1916206,1813.1304291760625,1923.1381401881567,0.0735326575826226,0.2274315
H59N.mp3,-4815.481848338514,3999.0518,2.9958122,2215.9632584332608,2120.4792414141366,0.09573574649076048,0.2300363
H164N.mp3,-4944.941746276527,4001.4875,-6.020977,1965.1235997368617,1961.1044044850219,0.08341592817164178,0.1446548
H30N.mp3,-5285.0636100741785,3926.1821,2.752909,1732.597526778414,1982.9938928860054,0.07934344738361762,0.12756018
H368N.mp3,-4825.441756475435,3358.7314,3.7699776,947.9598542802822,1499.3278191152324,0.01925743769989339,0.4001699
H385N.mp3,-4710.4886674419995,3914.1501,1.3858479,2084.2338546650763,1916.3277062732368,0.10240614727700782,0.26021588
H187N.mp3,-4532.076085828432,4000.642,0.9083011,1858.2953824034655,1643.545449091099,0.10809790334044066,0.11900101
H394N.mp3,-5551.25517934681,3971.2644,8.903968,2307.9746927728543,2092.629039655218,0.13392614216862117,0.27375478
H422N.mp3,-4941.035573209627,3953.4888,7.8575873,1217.1026817935287,1650.8076272817857,0.04143519289712153,0.27046254
H205N.mp3,-5979.967523002984,3339.1536,-51.40331,904.4193070059015,1112.0699295913205,0.0393481115627221,0.2516173
